step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00733218,0.00143185,28544,0.00366568,0.0408778,0.00609026,0.435547
100,5.89296,0.00514482,35536,0.130481,0.644892,0.00701308,0.542236
200,13.8119,0.00561878,34427,0.162263,0.709838,0.00766909,0.525314
300,19.1015,0.00544476,34129,0.176046,0.771395,0.00780473,0.520767
400,22.7937,0.00396547,34058,0.185104,0.785313,0.00801287,0.519684
500,25.5275,0.00294494,34057,0.191862,0.749978,0.00814954,0.519669
600,27.5631,0.00663198,34018,0.197673,0.779148,0.00826363,0.519073
700,29.1811,0.00617061,34076,0.201272,0.772372,0.00841829,0.519958
800,30.9475,0.00428474,34156,0.20688,0.801042,0.0086744,0.521179
900,32.5012,0.0106401,34241,0.209528,0.703754,0.00862798,0.522476
1000,33.8401,0.010354,34214,0.211807,0.781392,0.00871473,0.522064
1100,35.1692,0.0097342,34299,0.214932,0.803475,0.00873555,0.523361
1200,36.4367,0.00245038,34335,0.21751,0.785491,0.00849067,0.523911
1300,37.6589,0.00463928,34387,0.219026,0.827988,0.008187,0.524704
1400,39.3314,0.00714486,34466,0.221564,0.827758,0.00766587,0.525909
1500,40.777,0.0119075,34467,0.224027,0.787496,0.00718023,0.525925
1600,42.2211,0.00516776,34418,0.226312,0.844244,0.00686576,0.525177
1700,43.6179,0.0106905,34511,0.228288,0.76135,0.0065963,0.526596
1800,46.1944,0.00783072,34601,0.231518,0.773287,0.00644029,0.527969
1900,48.4073,0.0110834,34593,0.233439,0.803198,0.00614791,0.527847
1999,49.7992,0.00965938,24800,0.236495,0.799645,0.00592737,0.378418
