order_parameter,local_coherence_mean,step,time
0.08877804466331364,0.4232080420517657,0,0.0
0.21864128260733773,0.6466575746525127,10,0.5
0.3102430464031836,0.7818448727670121,20,1.0
0.33567930656340184,0.8557987706203596,30,1.5
0.3399216718696935,0.8966893089519756,40,2.0
0.3293962496393754,0.9162816780488169,50,2.5
0.3163019255969954,0.9290807062514035,60,3.0
0.30326683493701856,0.938275108150862,70,3.5
0.2909693560873049,0.9451124593119664,80,4.0
0.2796115028640332,0.9503286055145003,90,4.5
0.26921422863535255,0.9544052922982874,100,5.0
0.2597215667378308,0.9576684015642745,110,5.5
0.2510474535751703,0.9603416674784339,120,6.0
0.24309888575783395,0.9625802384216512,130,6.5
0.2357874077351756,0.9644926678135535,140,7.0
0.22903433812941712,0.9661556118293245,150,7.5
0.22277255430900605,0.9676237557805775,160,8.0
0.2169464223138747,0.968936563798724,170,8.5
0.21151079373966752,0.9701228922839313,180,9.0
0.20642960504748237,0.9712041571929941,190,9.5
0.20167438291764678,0.9721965174461249,200,10.0
0.1972228187708258,0.9731123862711587,210,10.5
0.1930574911825295,0.9739614818946382,220,11.0
0.18916476545664676,0.9747515614923928,230,11.5
0.18553387189807824,0.975488936690318,240,12.0
0.18215614995297408,0.9761788379371736,250,12.5
0.17902443902762868,0.9768256739764855,260,13.0
0.17613259507022594,0.9774332182348404,270,13.5
0.17347511278653832,0.9780047440768987,280,14.0
0.17104683536363183,0.9785431241069381,290,14.5
0.1688427360232232,0.9790509040421145,300,15.0
0.16685775818208803,0.9795303584767941,310,15.5
0.16508670323455726,0.9799835336453343,320,16.0
0.16352415689469976,0.980412280761478,330,16.5
0.16216444662339807,0.9808182824531393,340,17.0
0.16100162394171286,0.9812030740756131,350,17.5
0.1600294664419972,0.9815680611738874,360,18.0
0.15924149510530855,0.9819145340067089,370,18.5
0.15863100317007264,0.9822436797938814,380,19.0
0.1581910933188389,0.9825565931712593,390,19.5
0.1579147203946923,0.9828542852123984,400,20.0
0.1577947372539807,0.9831376912862886,410,20.5
0.15782394172564182,0.9834076779562111,420,21.0
0.15799512298956836,0.983665049078038,430,21.5
0.15830110601077155,0.98391055122206,440,22.0
0.1587347929718283,0.9841448785170422,450,22.5
0.15928920092993015,0.9843686769961656,460,23.0
0.1599574951825972,0.9845825485100186,470,23.5
0.16073301805385115,0.9847870542606448,480,24.0
0.16160931300757495,0.9849827180019142,490,24.5
