step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00559597,0.000820464,13905,0.0027977,0.0357288,0.00094138,0.212173
100,3.32432,0.000946469,47258,0.056164,0.317516,0.00155898,0.7211
200,8.8117,0.00365128,49057,0.0716905,0.330058,0.00246085,0.74855
300,13.238,0.00215513,50014,0.0795817,0.331428,0.00284469,0.763153
400,16.2066,0.00556577,50776,0.0841545,0.357082,0.00278174,0.77478
500,18.7544,0.00682369,51443,0.0880476,0.363929,0.0030753,0.784958
600,20.6092,0.00872839,51909,0.0911641,0.343275,0.00352997,0.792068
700,22.1285,0.00301879,52424,0.0937311,0.353274,0.00386654,0.799927
800,23.5496,0.00363194,52681,0.0953899,0.341921,0.00411293,0.803848
900,24.6558,0.00226825,53004,0.0972047,0.346341,0.00427813,0.808777
1000,25.4552,0.00172728,53165,0.098002,0.367196,0.00455177,0.811234
1100,26.0654,0.00363195,53321,0.0997137,0.360429,0.00468795,0.813614
1200,27.2689,0.00320691,53668,0.10147,0.366932,0.00498978,0.818909
1300,28.662,0.00233963,54104,0.103328,0.359992,0.00515196,0.825562
1400,30.0148,0.00775453,54245,0.103979,0.375336,0.00515653,0.827713
1500,31.0753,0.00555653,54445,0.104394,0.366929,0.00517812,0.830765
1600,31.8077,0.00990518,54664,0.106225,0.362163,0.00513963,0.834106
1700,33.0303,0.0106007,54892,0.107843,0.374832,0.00504836,0.837585
1800,34.2187,0.0022584,55105,0.108983,0.350604,0.00517877,0.840836
1900,35.6331,0.00442474,55254,0.110124,0.358026,0.00503968,0.843109
1999,36.805,0.00847222,55468,0.111,0.377229,0.00493393,0.846375
