step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56994e-06,0.000734033,0,0,0
100,7.68421e-05,0.000767134,65536,0,0
200,0.000100481,0.000823566,65536,0,0
300,0.000124845,0.000878394,65536,0,0
400,0.000148466,0.000927849,65536,0,0
500,0.000166527,0.000973675,65536,0,0
600,0.000178104,0.0010173,65536,0,0
700,0.00018435,0.00105889,65536,0,0
800,0.000186755,0.00109796,65536,0,0
900,0.000186548,0.00113392,65536,0,0
1000,0.000184605,0.00116635,65536,0,0
1100,0.00018152,0.00119507,65536,0,0
1200,0.000177697,0.00122013,65536,0,0
1300,0.000173403,0.00124176,65536,0,0
1400,0.000168823,0.0012602,65536,0,0
1500,0.000164085,0.00127583,65536,0,0
1600,0.00015927,0.00128895,65536,0,0
1700,0.000154445,0.0012999,65536,0,0
1800,0.000149649,0.00130897,65536,0,0
1900,0.000144914,0.00131642,65536,0,0
1999,0.000140308,0.00132244,65536,0,0
