step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57133e-06,0.00263424,0,0,0
100,7.66941e-05,0.00272549,17081,0,0
200,0.000100243,0.00290139,17081,0,0
300,0.000124731,0.00309542,17081,0,0
400,0.000148553,0.00328028,17081,0,0
500,0.000166734,0.00344523,17081,0,0
600,0.000178353,0.00358805,17081,0,0
700,0.000184596,0.0037102,17081,0,0
800,0.000186988,0.00381442,17081,0,0
900,0.000186761,0.00390351,17081,0,0
1000,0.000184797,0.00397999,17081,0,0
1100,0.000181697,0.00404605,17081,0,0
1200,0.000177859,0.0041034,17081,0,0
1300,0.000173554,0.00415347,17081,0,0
1400,0.000168967,0.00419732,17081,0,0
1500,0.000164219,0.00423593,17081,0,0
1600,0.0001594,0.00426995,17081,0,0
1700,0.000154571,0.0043001,17081,0,0
1800,0.000149771,0.00432676,17081,0,0
1900,0.000145033,0.00435041,17081,0,0
1999,0.000140424,0.00437123,48455,0,0
