step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.080198,1.176342,1.618864,1.176342,0.628270,0.548072,1.000000,0.000000,0.000000,0.935378,0.844921,0.005481,0.090692,0.000000,0.703125,0.000000,0.179688,0.000000,14
2048,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
3072,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
4096,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
5120,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
6144,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
7168,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
8192,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
9216,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
10240,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
11264,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
12288,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
13312,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
14336,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
15360,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
16384,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
17408,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
18432,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
19456,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
20480,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
21504,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
22528,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
23552,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
24576,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
25600,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
26624,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
27648,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
28672,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
29696,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
30720,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
31744,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
32768,0.080228,1.176373,1.618975,1.176373,0.628301,0.548072,1.000000,0.000000,0.000000,0.935222,0.844835,0.005468,0.090584,0.000000,0.703125,0.000000,0.179688,0.000000,14
