step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00734323,0.00244746,28687,0.00367121,0.0356827,0.00977578,0.437729
100,5.86023,0.0102903,59620,0.129077,0.60445,0.0110822,0.909729
200,13.6974,0.0129426,57297,0.160239,0.686906,0.0126367,0.874283
300,18.981,0.0106247,56929,0.174932,0.682678,0.0141615,0.868668
400,22.6901,0.0143621,56965,0.184582,0.793398,0.0155419,0.869217
500,25.4506,0.00138086,57055,0.19058,0.750353,0.0168089,0.87059
600,27.2995,0.00563867,57262,0.196132,0.738195,0.018059,0.873749
700,29.2059,0.00388267,57501,0.199536,0.776055,0.0191081,0.877396
800,30.9347,0.00587865,57661,0.204314,0.779346,0.0200568,0.879837
900,32.6715,0.00210589,57858,0.208094,0.750626,0.0210975,0.882843
1000,34.0675,0.00272229,57987,0.210609,0.735014,0.0219505,0.884811
1100,35.2836,0.00573838,58104,0.213659,0.785547,0.0229207,0.886597
1200,36.6857,0.00996574,58237,0.218,0.79593,0.0240041,0.888626
1300,38.176,0.0124033,58439,0.221091,0.785052,0.0250151,0.891708
1400,39.5568,0.016235,58582,0.223364,0.794573,0.025815,0.89389
1500,41.3297,0.0156808,58728,0.225967,0.814639,0.0267482,0.896118
1600,42.5633,0.0149165,58841,0.227772,0.80646,0.0277753,0.897842
1700,44.5108,0.00416067,59010,0.23007,0.883878,0.028603,0.900421
1800,45.759,0.0098877,59118,0.231964,0.830632,0.0290843,0.902069
1900,46.8389,0.0122138,59241,0.234151,0.807881,0.0296416,0.903946
1999,48.5686,0.00647899,59366,0.237372,0.759055,0.0306202,0.905853
